day,cx
2021-01-26,25.587261
2021-01-27,26.669024
2021-01-28,26.725893
2021-01-29,26.676083
2021-01-30,25.541433
2021-01-31,23.011007
2021-02-01,26.880188
2021-02-02,26.642666
2021-02-03,31.40937
2021-02-04,29.087025
2021-02-05,29.334534
2021-02-06,27.983473
2021-02-07,23.023455
2021-02-08,25.947021
2021-02-09,27.805637
2021-02-10,26.630077
2021-02-11,25.169064
2021-02-12,27.055159
2021-02-13,24.895145
2021-02-14,23.48736
2021-02-15,24.817757
2021-02-16,25.935862
2021-02-17,27.387815
2021-02-18,27.264833
2021-02-19,27.368977
2021-02-20,21.70546
2021-02-21,21.401947
2021-02-22,23.802206
2021-02-23,23.606005
2021-02-24,24.9617
2021-02-25,25.780497
2021-02-26,25.282892
2021-02-27,24.800964
2021-02-28,21.875292
2021-03-01,24.57606
2021-03-02,22.57634
2021-03-03,23.485704
2021-03-04,24.444767
2021-03-05,25.271519
2021-03-06,23.060783
2021-03-07,21.839003
2021-03-08,22.541708
2021-03-09,23.674004
2021-03-10,25.28286
2021-03-11,24.812935
2021-03-12,25.31524
2021-03-13,26.038754
2021-03-14,22.504005
2021-03-15,24.020369
2021-03-16,24.253395
2021-03-17,23.90029
2021-03-18,23.846592
2021-03-19,24.318537
2021-03-20,24.960447
2021-03-21,22.477915
2021-03-22,25.294827
2021-03-23,24.997343
2021-03-24,24.582603
2021-03-25,24.131445
2021-03-26,24.105112
2021-03-27,25.99269
2021-03-28,23.15455
2021-03-29,24.160011
2021-03-30,24.46781
2021-03-31,22.872356
2021-04-01,25.044336
2021-04-02,22.400084
2021-04-03,24.89627
2021-04-04,24.698084
2021-04-05,22.22777
2021-04-06,22.704927
2021-04-07,23.810457
2021-04-08,24.783184
2021-04-09,24.182163
2021-04-10,24.359997
2021-04-11,22.100794
2021-04-12,23.938566
2021-04-13,23.845188
2021-04-14,23.693592
2021-04-15,24.574102
2021-04-16,23.848522
2021-04-17,24.237387
2021-04-18,22.355227
2021-04-19,24.51517
2021-04-20,22.880066
2021-04-21,24.337585
2021-04-22,23.306042
2021-04-23,24.016075
2021-04-24,21.457651
2021-04-25,22.069633
2021-04-26,22.918846
2021-04-27,23.145119
2021-04-28,23.708542
2021-04-29,23.968044
2021-04-30,26.58803
2021-05-01,24.827734
2021-05-02,24.599487
2021-05-03,25.466541
2021-05-04,26.050053
2021-05-05,23.803144
2021-05-06,25.58497
2021-05-07,25.342148
2021-05-08,24.646782
2021-05-09,22.840303
2021-05-10,23.530378
2021-05-11,23.877958
2021-05-12,25.349342
2021-05-13,23.713333
2021-05-14,24.52335
2021-05-15,27.159037
2021-05-16,23.415922
2021-05-17,23.818058
2021-05-18,24.873135
2021-05-19,24.094046
2021-05-20,24.39276
2021-05-21,25.818792
2021-05-22,28.25692
2021-05-23,26.036446
2021-05-24,26.150692
2021-05-25,24.914337
2021-05-26,26.351301
2021-05-27,24.998177
2021-05-28,26.803482
2021-05-29,30.216778
2021-05-30,25.849747
2021-05-31,26.74613
2021-06-01,28.97685
2021-06-02,28.763985
2021-06-03,29.82438
2021-06-04,30.786156
2021-06-05,36.149876
2021-06-06,28.581327
2021-06-07,27.906235
2021-06-08,29.063879
2021-06-09,27.72662
2021-06-10,26.845001
2021-06-11,30.550934
2021-06-12,34.89372
2021-06-13,32.13678
2021-06-14,27.093536
2021-06-15,27.73248
2021-06-16,27.527485
2021-06-17,28.303818
2021-06-18,30.95548
2021-06-19,33.25862
2021-06-20,27.116156
2021-06-21,27.381447
2021-06-22,29.875929
2021-06-23,29.172665
2021-06-24,30.662611
2021-06-25,31.77848
2021-06-26,44.73513
2021-06-27,39.834587
2021-06-28,27.64013
2021-06-29,26.508492
2021-06-30,27.420494
2021-07-01,28.67009
2021-07-02,30.45402
2021-07-03,47.441387
2021-07-04,33.504128
2021-07-05,28.964592
2021-07-06,27.216715
2021-07-07,28.671898
2021-07-08,28.57873
2021-07-09,34.812202
2021-07-10,47.934437
2021-07-11,34.587593
2021-07-12,28.103434
2021-07-13,28.46062
2021-07-14,30.03409
2021-07-15,29.260294
2021-07-16,33.466484
2021-07-17,42.952908
2021-07-18,35.655445
2021-07-19,29.623976
2021-07-20,29.624285
2021-07-21,31.888542
2021-07-22,32.14028
2021-07-23,33.18647
2021-07-24,43.911896
2021-07-25,38.102776
2021-07-26,29.225256
2021-07-27,30.147984
2021-07-28,29.651302
2021-07-29,34.68171
2021-07-30,35.429066
2021-07-31,47.960785
2021-08-01,36.84015
2021-08-02,33.134827
2021-08-03,31.50732
2021-08-04,32.15299
2021-08-05,32.980778
2021-08-06,37.226284
2021-08-07,75.22712
2021-08-08,43.737106
2021-08-09,29.627348
2021-08-10,33.608505
2021-08-11,35.49434
2021-08-12,34.67142
2021-08-13,40.02733
2021-08-14,54.446827
2021-08-15,37.477913
2021-08-16,30.726446
2021-08-17,31.96592
2021-08-18,34.852993
2021-08-19,35.10245
2021-08-20,50.585278
2021-08-21,53.781837
2021-08-22,35.71433
2021-08-23,32.43024
2021-08-24,34.398914
2021-08-25,40.075905
2021-08-26,34.20628
2021-08-27,36.18594
2021-08-28,73.37422
2021-08-29,48.250126
2021-08-30,41.282803
2021-08-31,37.35835
2021-09-01,43.835373
2021-09-02,38.280647
2021-09-03,39.87688
2021-09-04,66.64341
2021-09-05,46.29153
2021-09-06,32.760483
2021-09-07,32.85088
2021-09-08,46.882526
2021-09-09,42.72683
2021-09-10,161.00224
2021-09-11,72.81209
2021-09-12,61.98607
2021-09-13,32.064873
2021-09-14,32.81896
2021-09-15,33.209034
2021-09-16,43.655396
2021-09-17,69.82363
2021-09-18,147.24791
2021-09-19,111.89575
2021-09-20,33.61323
2021-09-21,39.719353
2021-09-22,36.979103
2021-09-23,37.628372
2021-09-24,109.3388
2021-09-25,75.94799
2021-09-26,51.609486
2021-09-27,32.96089
2021-09-28,38.371426
2021-09-29,34.682827
2021-09-30,44.48561
2021-10-01,64.05294
2021-10-02,99.06515
2021-10-03,392.98694
2021-10-04,33.714787
2021-10-05,36.469135
2021-10-06,38.77119
2021-10-07,35.31287
2021-10-08,182.652
2021-10-09,111.80919
2021-10-10,199.2682
2021-10-11,33.192116
2021-10-12,34.35701
2021-10-13,34.13834
2021-10-14,45.091747
2021-10-15,76.66969
2021-10-16,101.83348
2021-10-17,75.2726
2021-10-18,33.02678
2021-10-19,150.11891
2021-10-20,38.306732
2021-10-21,37.639545
2021-10-22,58.28153
2021-10-23,450.96448
2021-10-24,81.97341
2021-10-25,35.28372
2021-10-26,38.023735
2021-10-27,39.766407
2021-10-28,65.9996
2021-10-29,330.2475
2021-10-30,109.49307
2021-10-31,111.026375
2021-11-01,42.635597
2021-11-02,77.163376
2021-11-03,57.84049
2021-11-04,101.51602
2021-11-05,173.03627
2021-11-06,171.18655
2021-11-07,88.45618
2021-11-08,32.445995
2021-11-09,35.038
2021-11-10,40.558823
2021-11-11,95.17336
2021-11-12,146.44539
2021-11-13,199.32648
2021-11-14,80.80971
2021-11-15,29.979927
2021-11-16,36.494743
2021-11-17,55.04204
2021-11-18,57.771133
2021-11-19,191.2768
2021-11-20,106.053154
2021-11-21,52.377434
2021-11-22,64.104416
2021-11-23,94.82878
2021-11-24,38.999554
2021-11-25,91.7447
2021-11-26,50.27868
2021-11-27,249.08972
2021-11-28,65.09616
2021-11-29,34.049118
2021-11-30,32.74672
2021-12-01,35.779465
2021-12-02,35.56478
2021-12-03,51.097733
2021-12-04,106.648895
2021-12-05,70.42642
2021-12-06,30.075829
2021-12-07,30.850807
2021-12-08,30.193865
2021-12-09,37.011353
2021-12-10,40.134274
2021-12-11,57.371742
2021-12-12,36.522247
2021-12-13,31.900005
2021-12-14,31.36928
2021-12-15,31.125076
2021-12-16,31.2815
2021-12-17,37.911873
2021-12-18,48.94385
2021-12-19,32.430706
2021-12-20,30.342047
2021-12-21,30.14704
2021-12-22,33.0342
2021-12-23,35.502537
2021-12-24,25.312677
2021-12-25,28.12362
2021-12-26,33.414253
2021-12-27,33.66288
2021-12-28,28.703085
2021-12-29,33.342297
2021-12-30,34.267715
2021-12-31,30.073797
2022-01-01,27.038294
2022-01-02,32.05672
2022-01-03,27.649874
2022-01-04,26.378138
2022-01-05,29.033495
2022-01-06,30.386974
2022-01-07,31.788689
2022-01-08,35.674957
2022-01-09,25.471561
2022-01-10,31.328045
2022-01-11,31.391533
2022-01-12,30.682505
2022-01-13,31.71769
2022-01-14,35.478554
2022-01-15,36.21263
2022-01-16,27.204245
2022-01-17,34.17066
2022-01-18,33.028908
2022-01-19,31.564405
2022-01-20,35.011585
2022-01-21,34.647484
2022-01-22,36.92479
2022-01-23,27.038351
2022-01-24,32.39109
2022-01-25,31.933294
2022-01-26,31.77522
2022-01-27,33.94156
2022-01-28,37.7584
2022-01-29,43.314495
2022-01-30,28.94775
2022-01-31,33.048706
2022-02-01,32.981678
2022-02-02,35.272697
2022-02-03,37.50605
2022-02-04,39.24732
2022-02-05,40.08456
2022-02-06,32.732006
2022-02-07,35.16043
2022-02-08,35.343945
2022-02-09,36.441853
2022-02-10,37.954124
2022-02-11,41.87024
2022-02-12,48.439926
2022-02-13,34.61818
2022-02-14,35.694107
2022-02-15,39.567757
2022-02-16,35.034447
2022-02-17,38.782875
2022-02-18,43.113995
2022-02-19,43.805244
2022-02-20,41.782547
2022-02-21,36.634827
2022-02-22,41.01123
2022-02-23,41.949886
2022-02-24,41.596466
2022-02-25,49.939064
2022-02-26,58.12368
2022-02-27,54.24688
2022-02-28,41.68225
2022-03-01,41.762623
2022-03-02,41.22607
2022-03-03,39.27658
2022-03-04,49.59031
2022-03-05,58.2183
2022-03-06,50.530975
2022-03-07,38.86514
2022-03-08,45.363403
2022-03-09,39.23711
2022-03-10,253.19873
2022-03-11,132.805
2022-03-12,56.904877
2022-03-13,131.49104
2022-03-14,169.39075
2022-03-15,50.558006
2022-03-16,41.445663
2022-03-17,40.65119
2022-03-18,55.986538
2022-03-19,230.7825
2022-03-20,42.016853
2022-03-21,35.968502
2022-03-22,39.214283
2022-03-23,38.64998
2022-03-24,40.24196
2022-03-25,59.608246
2022-03-26,112.023445
2022-03-27,65.765686
2022-03-28,37.1747
2022-03-29,39.664337
